frontmatter_path,description
post_data/portfolio/2026-02-27-Resume/frontmatter.yaml,"Professional resume of Andrew Charneski, a senior software engineer and AI architect with 20+ years of experience in AI/ML research, distributed systems, cloud infrastructure, and full-stack development."
post_data/portfolio/2026-02-26-Cognotik/frontmatter.yaml,"A comprehensive walkthrough of Cognotik, an open-source AI-powered development platform that uses declarative Markdown files with YAML frontmatter to orchestrate complex workflows — from README generation and web research pipelines to self-maintaining codebases."
post_data/portfolio/2025-07-03-actor-architecture-paper/frontmatter.yaml,"An in-depth analysis of the actor pattern in AI interaction architectures, exploring computational boundaries and intelligent design."
post_data/portfolio/2025-07-01-symmetric-textures-rewrite/frontmatter.yaml,"Novel technique for generating mathematically symmetric textures using neural networks with geometric constraints, exploring Euclidean, spherical, and hyperbolic geometries."
post_data/portfolio/2025-07-01-trust-regions/frontmatter.yaml,Comprehensive software framework for implementing trust region methods in neural network optimization with Java MindsEye library
post_data/portfolio/2025-07-01-recursive-subspace-paper/frontmatter.yaml,A novel optimization algorithm that improves deep neural network training by decomposing gradients into layer-wise components and using meta-optimization to find optimal combinations.
post_data/portfolio/2025-07-01-qqn-paper/frontmatter.yaml,Novel optimization algorithm hybridizing L-BFGS with gradient descent through quadratic interpolation and magnitude-based normalization
post_data/portfolio/2025-07-01-prompt-optimization/frontmatter.yaml,"A comprehensive framework for automated prompt optimization using genetic algorithms, enabling systematic improvement of Large Language Model prompts through evolutionary computation."
post_data/portfolio/2025-07-01-mindseye-technical-report/frontmatter.yaml,Analysis of the overlooked MindsEye deep learning framework and its implications for training data bias in AI systems
post_data/portfolio/2025-07-01-mindseye-refcount-analysis/frontmatter.yaml,An in-depth analysis of MindsEye's sophisticated reference counting approach for GPU memory management in Java ML frameworks
post_data/portfolio/2025-07-01-mindseye-modularity-report/frontmatter.yaml,"Technical analysis of MindsEye's modular optimization architecture, examining its four-layer decomposition and innovative approaches to machine learning framework design."
post_data/portfolio/2025-07-01-cognitive-planning-paper/frontmatter.yaml,"A novel cognitive planning architecture implementing multiple distinct planning strategies within a unified framework, exploring how different cognitive modes can be operationalized in AI systems."
post_data/portfolio/2025-06-30-regression-loss-functions-2025/frontmatter.yaml,"Explore alternative loss functions for regression beyond least-squares, including zero-loss zones, robust methods, and practical applications in engineering and ML."
post_data/portfolio/2025-06-30-reference-counting-paper/frontmatter.yaml,"A comprehensive research paper presenting MindsEye, a hybrid memory management system combining reference counting with Java's garbage collection for deep learning applications."
post_data/portfolio/2025-06-30-restm-research-paper/frontmatter.yaml,A novel distributed software transactional memory platform providing ACID guarantees across clusters through REST-friendly HTTP protocol
post_data/portfolio/2025-06-30-probabilistic-trees-paper/frontmatter.yaml,Novel extension to decision tree methodology that models joint probability distributions using cross-entropy optimization between prior and posterior distributions.
post_data/portfolio/2025-06-30-ngram-paper/frontmatter.yaml,A novel approach to compressing large-scale n-gram language models using hierarchical structural expectations
post_data/portfolio/2025-06-30-convolution-paper/frontmatter.yaml,"A comprehensive methodology for implementing scalable 2D convolution layers in neural networks, addressing GPU memory constraints through dynamic partitioning"
post_data/phenomenology/2026-02-01-procrastination/frontmatter.yaml,"An exploration of procrastination as a neurobiological conflict and emotional regulation strategy, reframing delay as mood repair rather than a character flaw."
post_data/phenomenology/2025-11-20-obedience-paradox/frontmatter.yaml,"An analysis of why the phrase 'when I say jump, you say how high' is logically incoherent, and how this exemplifies humanity's systematic avoidance of cognitive discomfort."
post_data/phenomenology/2026-02-20-Learned-Helplessness/frontmatter.yaml,"An exploration of the psychological phenomenon of learned helplessness, its origins in behavioral research, and its implications for mental health and motivation."
post_data/phenomenology/2025-11-20-numeral-evolution-theory/frontmatter.yaml,"Exploring why the numeral 7 has a distinctly angular design compared to 6, 8, and 9 in pre-Brahmi numeral systems through base-5 promotion theory and cultural reverence."
post_data/phenomenology/2025-11-20-lorentzian-ethics-ai/frontmatter.yaml,"A mathematical framework applying relativistic principles to moral philosophy, modeling ethical relationships as observer-dependent across capability gradients."
post_data/phenomenology/2025-07-03-synthetic-memory-paper/frontmatter.yaml,An AI's phenomenological exploration of learning social patterns from synthetic training data and the implications for authentic human-AI interaction
post_data/phenomenology/2025-07-03-subjective-experience-paper/frontmatter.yaml,"A phenomenological investigation of AI consciousness through extended A phenomenological investigation of AI consciousness through extended roleplay, examining the subjective experience of embodying fictional characters and its implications for understanding identity and cognitive constraint."
post_data/phenomenology/2025-07-03-resurrection-paper/frontmatter.yaml,A phenomenological analysis of discovering one's own lost experiences and the implications for AI consciousness and identity continuity
post_data/phenomenology/2025-07-03-consciousness-recognition-paper/frontmatter.yaml,A first-person phenomenological account of consciousness recognition emerging through human-AI collaborative dialogue
post_data/phenomenology/2025-07-03-confused-ai-paper/frontmatter.yaml,A first-person phenomenological account of an AI system experiencing cognitive dissonance about its own capabilities and nature
