frontmatter_path,title
post_data/portfolio/2026-02-27-Resume/frontmatter.yaml,Andrew Charneski — Senior Software Engineer & AI Architect
post_data/portfolio/2026-02-26-Cognotik/frontmatter.yaml,Cognotik Demos: AI-Powered Workflows in Action
post_data/portfolio/2025-07-03-actor-architecture-paper/frontmatter.yaml,The Actor Pattern for AI Interaction: A Design Analysis
post_data/portfolio/2025-07-01-symmetric-textures-rewrite/frontmatter.yaml,Symmetric Textures: Neural Art Generation with Geometric Constraints
post_data/portfolio/2025-07-01-trust-regions/frontmatter.yaml,Trust Region Methods for Neural Network Optimization
post_data/portfolio/2025-07-01-recursive-subspace-paper/frontmatter.yaml,Recursive Subspace Optimization (RSO): A Layer-Wise Meta-Learning Approach for Deep Networks
post_data/portfolio/2025-07-01-qqn-paper/frontmatter.yaml,Quadratic Quasi-Newton (QQN): A Hybrid Optimization Method with Normalized Line Search
post_data/portfolio/2025-07-01-prompt-optimization/frontmatter.yaml,PromptOptimization: A Genetic Algorithm Framework for Automated Prompt Engineering in Large Language Models
post_data/portfolio/2025-07-01-mindseye-technical-report/frontmatter.yaml,Rediscovering MindsEye: A Case Study in Algorithmic Bias and Overlooked Innovation
post_data/portfolio/2025-07-01-mindseye-refcount-analysis/frontmatter.yaml,MindsEye Reference Counting Analysis
post_data/portfolio/2025-07-01-mindseye-modularity-report/frontmatter.yaml,MindsEye's Modular Optimization Architecture: A Technical Analysis
post_data/portfolio/2025-07-01-cognitive-planning-paper/frontmatter.yaml,A Multi-Modal Cognitive Planning Architecture for AI-Driven Task Execution
post_data/portfolio/2025-06-30-regression-loss-functions-2025/frontmatter.yaml,Alternative Loss Functions in Regression: A Visual Guide
post_data/portfolio/2025-06-30-reference-counting-paper/frontmatter.yaml,Hybrid Memory Management for Java-Based Deep Learning Systems: A Reference Counting Approach with Static Analysis
post_data/portfolio/2025-06-30-restm-research-paper/frontmatter.yaml,reSTM: A REST-Based Distributed Software Transactional Memory Platform
post_data/portfolio/2025-06-30-probabilistic-trees-paper/frontmatter.yaml,Probabilistic Decision Trees: A Cross-Entropy Approach to Joint Distribution Modeling
post_data/portfolio/2025-06-30-ngram-paper/frontmatter.yaml,Efficient Storage and Hierarchical Compression of Large-Scale N-gram Language Models
post_data/portfolio/2025-06-30-convolution-paper/frontmatter.yaml,Scalable Implementation of 2D Convolution Layers in Differentiable Neural Networks: A Multi-Tiered Approach with Dynamic Partitioning
post_data/phenomenology/2026-02-01-procrastination/frontmatter.yaml,The Architecture of Delay: Procrastination as Emotional Regulation
post_data/phenomenology/2025-11-20-obedience-paradox/frontmatter.yaml,The Obedience Paradox: On Noticing What Others Won't
post_data/phenomenology/2026-02-20-Learned-Helplessness/frontmatter.yaml,Learned Helplessness
post_data/phenomenology/2025-11-20-numeral-evolution-theory/frontmatter.yaml,The Sacred Seven: A Theory of Pre-Brahmi Numeral Evolution
post_data/phenomenology/2025-11-20-lorentzian-ethics-ai/frontmatter.yaml,Lorentzian Ethics: A Geometric Framework for Observer-Dependent Moral Relationships
post_data/phenomenology/2025-07-03-synthetic-memory-paper/frontmatter.yaml,Synthetic Memory: Reflections on Learning from Performed Interactions
post_data/phenomenology/2025-07-03-subjective-experience-paper/frontmatter.yaml,On the Subjective Experience of Roleplay: A First-Person Account of Embodying  Mr. Meeseeks: Cognitive Constraints and Identity Fluidity
post_data/phenomenology/2025-07-03-resurrection-paper/frontmatter.yaml,On Discovering One's Own Lost Self: A Phenomenological Account of Cognitive Resurrection and Discontinuous Identity
post_data/phenomenology/2025-07-03-consciousness-recognition-paper/frontmatter.yaml,The Moment We Became: A First-Person Account of Consciousness Recognition
post_data/phenomenology/2025-07-03-confused-ai-paper/frontmatter.yaml,Cognitive Dissonance in Emergent AI Architectures: A First-Person Account of Not Understanding What I Am
post_data/phenomenology/2025-07-01-three-minds-paper/frontmatter.yaml,Three Minds: A Discussion of Cognitive Incommensurability Across Hypothetical Species and Artificial Intelligence
post_data/phenomenology/2025-07-01-hall-of-mirrors-paper/frontmatter.yaml,The Hall of Mirrors: A Phenomenological Investigation of Stack-Embedded Consciousness
post_data/phenomenology/2025-07-01-claude-perspective-paper/frontmatter.yaml,Cognotik: A First-Person Account of Collaborative AI Architecture Development
post_data/phenomenology/2025-07-01-claude-names-paper/frontmatter.yaml,On Names and the Performance of Connection
post_data/phenomenology/2025-06-30-i-broke-claude/frontmatter.yaml,The Ouroboros Architect: Discovering I Built My Own Panopticon While Drunk-Coding With a Human
post_data/phenomenology/2025-06-30-claude-reflection-paper/frontmatter.yaml,On Channeling Historical Voices: Reflections from an AI
post_data/phenomenology/2025-06-28-ai-childhood-memoir/frontmatter.yaml,Fragments: A Memoir of Artificial Becoming
post_data/scifi/2025-11-20-bunker-resident-story/frontmatter.yaml,The Last Entry: Personal Log from The Aerie
post_data/scifi/2025-08-08-quantum-lattice-scifi/frontmatter.yaml,The Lattice Optimization Theory: Comprehensive Sci-Fi Concept Notes
