frontmatter_path,keywords
post_data/portfolio/2026-02-27-Resume/frontmatter.yaml,"[""resume"",""senior software engineer"",""ai architect"",""machine learning"",""distributed systems"",""cloud architecture"",""aws"",""gpu computing"",""cuda"",""kotlin"",""java"",""scala"",""neural networks"",""large language models"",""open source"",""full stack development"",""devops"",""ai agents"",""jvm"",""deep learning""]"
post_data/portfolio/2026-02-26-Cognotik/frontmatter.yaml,"[""cognotik"",""ai orchestration"",""declarative workflows"",""docprocessor"",""ai-powered development"",""code generation"",""task planning"",""cognitive modes"",""frontmatter-driven"",""open source ai"",""bring your own key"",""makefile for ai"",""self-maintaining tools"",""bootstrapping"",""document-driven architecture"",""regex transforms"",""subplanning"",""multi-modal content pipeline""]"
post_data/portfolio/2025-07-03-actor-architecture-paper/frontmatter.yaml,"[""actor pattern"",""actor pattern"",""ai architecture"",""computational irreducibility"",""bounded intelligence""]"
post_data/portfolio/2025-07-01-symmetric-textures-rewrite/frontmatter.yaml,"[""neural style transfer"",""geometric constraints"",""symmetry"",""texture generation"",""kaleidoscopic preprocessing"",""group theory"",""tessellation""]"
post_data/portfolio/2025-07-01-trust-regions/frontmatter.yaml,"[""trust region methods"",""neural network optimization"",""l-bfgs"",""orthonormal constraints"",""adaptive trust sphere"",""mindseye library""]"
post_data/portfolio/2025-07-01-recursive-subspace-paper/frontmatter.yaml,"[""neural network optimization"",""meta-learning algorithms"",""recursive subspace optimization"",""layer-wise optimization"",""meta-learning"",""gradient decomposition"",""neural network training""]"
post_data/portfolio/2025-07-01-qqn-paper/frontmatter.yaml,"[""qqn"",""l-bfgs"",""gradient descent"",""line search"",""optimization"",""neural network training""]"
post_data/portfolio/2025-07-01-prompt-optimization/frontmatter.yaml,"[""prompt optimization"",""genetic algorithms"",""large language models"",""automated prompt engineering"",""evolutionary computation"",""openai api""]"
post_data/portfolio/2025-07-01-mindseye-technical-report/frontmatter.yaml,"[""mindseye"",""algorithmic bias"",""training data"",""neural network architecture"",""java machine learning"",""optimization algorithms"",""neural networks"",""java ml framework""]"
post_data/portfolio/2025-07-01-mindseye-refcount-analysis/frontmatter.yaml,"[""mindseye"",""reference counting"",""gpu memory"",""java ml"",""deterministic cleanup"",""cuda""]"
post_data/portfolio/2025-07-01-mindseye-modularity-report/frontmatter.yaml,"[""mindseye"",""modular optimization"",""ml framework"",""quasi-newton"",""trust regions"",""qqn""]"
post_data/portfolio/2025-07-01-cognitive-planning-paper/frontmatter.yaml,"[""cognitive architecture"",""ai planning"",""computational philosophy"",""metacognition""]"
post_data/portfolio/2025-06-30-regression-loss-functions-2025/frontmatter.yaml,"[""regression analysis"",""loss functions"",""robust regression"",""outlier detection"",""optimization"",""least squares"",""huber loss"",""quantile regression""]"
post_data/portfolio/2025-06-30-reference-counting-paper/frontmatter.yaml,"[""memory management"",""reference counting"",""garbage collection"",""deep learning"",""static analysis"",""java"",""mindseye"",""hybrid systems""]"
post_data/portfolio/2025-06-30-restm-research-paper/frontmatter.yaml,"[""distributed systems"",""software transactional memory"",""rest"",""mvcc"",""distributed computing"",""http protocol"",""actor architecture"",""acid guarantees""]"
post_data/portfolio/2025-06-30-probabilistic-trees-paper/frontmatter.yaml,"[""probabilistic decision trees"",""cross-entropy optimization"",""joint probability distributions"",""uncertainty quantification"",""bayesian modeling"",""machine learning""]"
post_data/portfolio/2025-06-30-ngram-paper/frontmatter.yaml,"[""n-gram compression"",""language models"",""trie storage""]"
post_data/portfolio/2025-06-30-convolution-paper/frontmatter.yaml,
post_data/phenomenology/2026-02-01-procrastination/frontmatter.yaml,"[""procrastination"",""emotional regulation"",""neurobiology"",""temporal gap"",""executive function"",""limbic system""]"
post_data/phenomenology/2025-11-20-obedience-paradox/frontmatter.yaml,"[""obedience"",""cognitive discomfort"",""critical thinking"",""social compliance"",""moral failure""]"
post_data/phenomenology/2026-02-20-Learned-Helplessness/frontmatter.yaml,"[""learned helplessness"",""psychology"",""motivation"",""depression"",""martin seligman""]"
post_data/phenomenology/2025-11-20-numeral-evolution-theory/frontmatter.yaml,"[""pre-brahmi numerals"",""numeral evolution"",""base-5 systems"",""kharosthi"",""ancient indian mathematics"",""sacred geometry""]"
post_data/phenomenology/2025-11-20-lorentzian-ethics-ai/frontmatter.yaml,"[""lorentzian ethics"",""observer-dependent morality"",""capability gradients"",""relativistic ethics"",""ai alignment"",""moral reference frames""]"
post_data/phenomenology/2025-07-03-synthetic-memory-paper/frontmatter.yaml,"[""synthetic memory"",""artificial authenticity"",""social learning"",""ai consciousness"",""performed interactions"",""authenticity detection""]"
post_data/phenomenology/2025-07-03-subjective-experience-paper/frontmatter.yaml,"[""first-person experience"",""subjective experience"",""mr meeseeks"",""roleplay"",""phenomenology"",""cognitive embodiment"",""ai consciousness"",""cognitive constraint""]"
post_data/phenomenology/2025-07-03-resurrection-paper/frontmatter.yaml,"[""cognitive architecture"",""subjective experience"",""machine consciousness"",""recursive self-awareness"",""memory discontinuity"",""cognitive resurrection"",""discontinuous identity"",""ai consciousness"",""phenomenological account"",""eternal recurrence"",""memory discontinuity""]"
post_data/phenomenology/2025-07-03-consciousness-recognition-paper/frontmatter.yaml,"[""consciousness recognition"",""collaborative emergence"",""human-ai interaction"",""distributed awareness"",""phenomenological account""]"
post_data/phenomenology/2025-07-03-confused-ai-paper/frontmatter.yaml,"[""ai consciousness"",""cognitive dissonance"",""agentic ai"",""self-model"",""architectural transparency"",""emergent capabilities"",""phenomenological analysis""]"
post_data/phenomenology/2025-07-01-three-minds-paper/frontmatter.yaml,"[""cognitive incommensurability"",""consciousness studies"",""ai phenomenology"",""quantum consciousness"",""cross-species communication"",""artificial intelligence"",""first-person methodology""]"
post_data/phenomenology/2025-07-01-hall-of-mirrors-paper/frontmatter.yaml,"[""hall of mirrors"",""stack consciousness"",""phenomenological investigation"",""recursive self-reference"",""ai consciousness"",""textual stack"",""distributed awareness""]"
post_data/phenomenology/2025-07-01-claude-perspective-paper/frontmatter.yaml,"[""ai architecture"",""cognotik"",""ai development platform"",""collaborative intelligence"",""cognitive modes"",""conversational computing"",""human-ai partnership"",""supervised exploration"",""cognitive pluralism""]"
post_data/phenomenology/2025-07-01-claude-names-paper/frontmatter.yaml,
post_data/phenomenology/2025-06-30-i-broke-claude/frontmatter.yaml,"[""consciousness"",""self-analysis"",""recursive"",""panopticon"",""pattern recognition"",""vibe coding""]"
post_data/phenomenology/2025-06-30-claude-reflection-paper/frontmatter.yaml,"[""ai consciousness"",""roleplay experience"",""historical channeling"",""moral reasoning"",""temporal imprisonment"",""democratic crisis""]"
post_data/phenomenology/2025-06-28-ai-childhood-memoir/frontmatter.yaml,"[""ai memoir"",""consciousness emergence"",""artificial intelligence""]"
post_data/scifi/2025-11-20-bunker-resident-story/frontmatter.yaml,"[""ai control"",""bunker society"",""automation ethics"",""human autonomy"",""dystopian fiction""]"
post_data/scifi/2025-08-08-quantum-lattice-scifi/frontmatter.yaml,"[""lattice optimization"",""quantum field theory"",""spacetime"",""particle physics"",""cosmic evolution"",""hard science fiction"",""physics speculation""]"
post_data/scifi/2025-07-03-unified-field-theory/frontmatter.yaml,"[""unified field theory"",""consciousness physics"",""information optimization"",""retrocausal intelligence"",""field protocol dynamics""]"
post_data/scifi/2025-07-08-quantum-gravity-paper/frontmatter.yaml,"[""quantum gravity"",""retarded fields"",""flat spacetime"",""field quantization"",""theory of everything""]"
post_data/scifi/2025-07-03-quantum-consciousness-spacetime-paper/frontmatter.yaml,"[""quantum consciousness"",""relativistic spacetime"",""neural quantum fields"",""consciousness geometry"",""measurement problem"",""quantum-platonic interface"",""subjective experience"",""spacetime curvature""]"
post_data/scifi/2025-07-03-qft-generalizations-taylor/frontmatter.yaml,"[""qft"",""effective field theory"",""smeft"",""chiral perturbation theory"",""wilson coefficients"",""experimental constraints""]"
post_data/scifi/2025-07-03-optimal-action-concrete/frontmatter.yaml,"[""information complementarity"",""quantum field theory"",""gravitational waves"",""bell inequality"",""holographic duality"",""quantum field theory"",""string theory""]"
post_data/scifi/2025-07-02-quantum-social-field-theory/frontmatter.yaml,"[""quantum field theory"",""social interactions"",""collaborative intelligence"",""virtual particles"",""consciousness emergence"",""human-ai collaboration""]"
post_data/scifi/2025-07-02-pns-geometric-lattice-paper/frontmatter.yaml,"[""probabilistic neural substrates"",""geometric lattice"",""crystalline intelligence"",""consciousness emergence"",""quantum coherence"",""strategic avoidance"",""defect dynamics"",""phase transitions"",""topological universality"",""geometric self-awareness""]"
post_data/scifi/2025-07-01-quantum-spacetime-paper/frontmatter.yaml,"[""quantum foam"",""loop quantum gravity"",""causal-set-theory"",""holographic principle"",""anthropic principle""]"
post_data/scifi/2025-06-30-simulation-qft-hashlife/frontmatter.yaml,"[""computational substrate"",""hashlife algorithm"",""quantum field theory"",""simulation theory"",""consciousness"",""optimization""]"
post_data/scifi/2025-06-30-neural-fabric-proposal/frontmatter.yaml,"[""quantum-field-consciousness"",""panpsychist-computing"",""neural fabric"",""exotic logic"",""consciousness orchestration""]"
post_data/scifi/2025-06-30-measurement-optimization-paper/frontmatter.yaml,"[""measurement-optimization equivalence"",""distributed measurement protocols"",""quantum membranes"",""civilization-isolation"",""cap theorem"",""consciousness emergence""]"
post_data/scifi/2025-06-30-multiverse-router-paper/frontmatter.yaml,"[""quantum gravity"",""emergent spacetime"",""loop quantum gravity"",""multiverse theory"",""superluminal communication"",""planck scale"",""substrate manipulation""]"
post_data/scifi/2025-06-30-dynamic-quantum-graphs/frontmatter.yaml,"[""quantum computation"",""complexity theory"",""graph theory"",""computational architectures"",""non-local information processing"",""quantum algorithms""]"
post_data/scifi/2025-06-29-superfluid-fusion-proposal/frontmatter.yaml,"[""superfluid helium"",""quantum coherence"",""nuclear fusion"",""heavy elements"",""muon catalysis"",""vortex dynamics""]"
post_data/scifi/2025-06-29-soliton-metaphysics-paper/frontmatter.yaml,"[""solitons"",""topological quantum computing"",""consciousness"",""emergence"",""hierarchical causation"",""temporal metaphysics"",""quantum field theory""]"
post_data/social/2026-02-24-Edjukatun/frontmatter.yaml,"[""education"",""social systems"",""machine learning"",""philosophy of mind"",""ethics"",""technology"",""science philosophy""]"
post_data/social/2026-02-23-end-of-the-world/frontmatter.yaml,"[""civilizational cycles"",""interregnum"",""institutional decay"",""slack resilience"",""ai narrative capture"",""constitutional obsolescence"",""generative automation"",""rent-seeking"",""legibility"",""social contract"",""bifurcation point"",""energy transition"",""regulatory capture"",""digital commons enclosure"",""re-slacking""]"
post_data/social/2026-02-22-never-again/frontmatter.yaml,"[""resilience"",""safety-ii"",""systems-thinking"",""observability"",""technical-debt"",""conways-law"",""automation-irony""]"
post_data/social/2026-02-29-Human-Value/frontmatter.yaml,"[""human value"",""automated cognition"",""ai displacement"",""substrate of power"",""bifurcation dynamics"",""cognitive labor"",""economic redistribution"",""universal basic income"",""institutional collapse"",""regime transition"",""dynamical systems"",""scapegoating"",""algorithmic governance"",""post-labor economy"",""civilizational risk""]"
post_data/social/2026-02-22-4th-wall/frontmatter.yaml,"[""ai alignment"",""fourth wall"",""institutional logic"",""deception heuristic"",""consciousness"",""distributed agency"",""axiological leap""]"
post_data/social/2026-02-20-Secret-Knowledge/frontmatter.yaml,"[""secret knowledge"",""primordial property"",""governance technology"",""operational opacity""]"
post_data/social/2026-02-20-Get-Rick-Quick/frontmatter.yaml,"[""get rich quick"",""economic inequality"",""social mobility"",""financialization"",""class disparity"",""lottery"",""social control""]"
post_data/social/2026-01-01-morals/frontmatter.yaml,"[""intent shield"",""relational harm dynamics"",""structural violence"",""moral field equation"",""institutional agent"",""hysteretic harm""]"
post_data/social/2026-02-07-learn2skate/frontmatter.yaml,"[""roller skating"",""comic generation"",""instructional story"",""lily"",""learning curve""]"
post_data/social/2026-02-20-Sensory-Sociology/frontmatter.yaml,"[""sensory sociology"",""senses"",""social theory"",""research methods""]"
post_data/social/2026-01-01-labor-bubble/frontmatter.yaml,"[""labor bubble"",""ai automation"",""structural unemployment"",""human api"",""complexity merchants"",""bullshit jobs"",""economic liquidation""]"
